Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Circunstâncias Judiciais,Antecedentes,Pena-Base Minimo?,Agravantes/Atenuantes,Reincidência,Confissão Espontânea,Comparação Pena Provisória,Crime Tentado,Repouso Noturno,Conversão da Pena
0055718-02.2018.8.26.0050,Furto Simples,SÃO PAULO,9ª Vara Criminal,Dr(a). Lilian Lage Humes,N/A,N/A,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,N/A,Sim,Sim,Não convertida
0056658-12.1991.8.26.0050,Furto Simples,São Paulo,21ª Vara Criminal,Renata William Rached Catelli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0058119-78.2011.8.26.0224,Furto Simples,Guarulhos,5ª Vara Criminal,PRISCILA DEVECHI FERRAZ MAIA,565,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0058636-33.2005.8.26.0050,Furto Simples,SÃO PAULO,6ª Vara Criminal,Dr(a). Margot Chrysostomo Corrêa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0062191-04.2018.8.26.0050,Furto Simples,SÃO PAULO,19ª Vara Criminal,Antonio Carlos de Campos Machado Junior,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0066340-14.2016.8.26.0050,Furto Simples,SÃO PAULO,28ª Vara Criminal,Fernanda Galizia Noriega,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0066504-18.2012.8.26.0050,Furto Simples,SÃO PAULO,31ª Vara Criminal,Ana Lucia Fernandes Queiroga,365,365,Não,Maus antecedentes,Sim no mínimo,Não,Múltiplas condenações,Sim,Igual à base,Sim,Não,Não convertida
0067055-49.1998.8.26.0224,Furto Simples,Guarulhos,5ª Vara Criminal,PRISCILA DEVECHI FERRAZ MAIA,N/A,N/A,Não,Primário ou sem antecedentes,Não no mínimo,Não,Não,Não,Diferente da base,Sim,Não,Não convertida
0067387-52.2018.8.26.0050,Furto Simples,SÃO PAULO,27ª Vara Criminal,Luciana Piovesan,365,970,Não,Primário ou sem antecedentes,Não no mínimo,Não,Não,Sim,Igual à base,Não,Não,Convertida
0068686-06.2014.8.26.0050,Furto Simples,SÃO PAULO,15ª Vara Criminal,PAULA NARIMATU DE ALMEIDA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0069521-04.2008.8.26.0050,Furto Simples,SÃO PAULO,28ª Vara Criminal,Dr. Augusto Antonini,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0070051-37.2010.8.26.0050,Furto Simples,SÃO PAULO,6ª Vara Criminal,Dr(a). Érica de Matos Teixeira Lima Siqueira,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0070173-62.2000.8.26.0224,Furto Simples,Guarulhos,5ª Vara Criminal,PRISCILA DEVECHI FERRAZ MAIA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0070181-03.2005.8.26.0050,Furto Simples,SÃO PAULO,18ª Vara Criminal,Dr(a). Marcello Ovidio Lopes Guimarães,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
