Número processo,Categoria,comarca,vara,juiz,Pena Base,Pena Definitiva,Circunstâncias Judiciais,Antecedentes,Pena-Base Minimo?,Agravantes/Atenuantes,Reincidência,Confissão Espontânea,Comparação Pena Provisória,Crime Tentado,Repouso Noturno,Conversão da Pena
0000001-69.2013.8.26.0538,Furto Simples,Santa Cruz das Palmeiras,Vara Única,GUILHERME MARTINS DAMINI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000016-31.2018.8.26.0322,Furto Simples,Lins,1ª Vara Criminal,Dra. Jane Carrasco Alves Floriano,498,580,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,Diferente da base,Não,Não,Não convertida
0000025-30.2022.8.26.0426,Furto Simples,Patrocínio Paulista,Vara Única,DANIEL DIEGO CARRIJO,N/A,N/A,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Não,Diferente da base,Não,Sim,Não convertida
0000038-53.2015.8.26.0659,Furto Simples,Vinhedo,1ª Vara,Dr(a). Fábio Marcelo Holanda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000044-83.2017.8.26.0564,Furto Simples,São Bernardo do Campo,3ª Vara Criminal,Edegar de Sousa Castro,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000088-79.2017.8.26.0022,Furto Simples,Amparo,1ª Vara,Fernando Leonardi Campanella,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000096-87.2017.8.26.0238,Furto Simples,Ibiúna,2ª Vara,Dr(a). Luiz Fernando Angiolucci,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000125-82.2016.8.26.0591,Furto Simples,Tupi Paulista,2ª Vara,ALINE TABUCHI DA SILVA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000149-84.2018.8.26.0189,Furto Simples,Fernandópolis,1ª Vara Criminal,JULIANO SANTOS DE LIMA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000150-13.2001.8.26.0562,Furto Simples,Santos,6ª Vara Criminal,Silvana Amneris Rôlo Pereira Borges,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000156-88.2017.8.26.0358,Furto Simples,Mirassol,1ª Vara,Natália Berti,861,1415,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,Diferente da base,Não,Não,Não convertida
0000162-58.2017.8.26.0435,Furto Simples,Pedreira,2ª Vara,Dayse Lemos de Oliveira,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000198-92.2011.8.26.0247,Furto Simples,Ilhabela,1ª Vara,LUCAS GARBOCCI DA MOTTA,N/A,N/A,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,N/A,Não,Não,Não convertida
0000198-95.2017.8.26.0566,Furto Simples,São Carlos,3ª Vara Criminal,Dr. André Luiz de Macedo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000206-93.2018.8.26.0095,Furto Simples,Brotas,1ª Vara,MARCELA MACHADO MARTINIANO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000207-78.2018.8.26.0095,Furto Simples,Brotas,1ª Vara,MARCELA MACHADO MARTINIANO,375,246,Não,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Sim,Diferente da base,Não,Sim,Convertida
0000234-17.2016.8.26.0488,Furto Simples,Queluz,Vara Única,LUCAS CAMPOS DE SOUZA,N/A,N/A,Não,Maus antecedentes,Sim no mínimo,Não,Não,Não,Diferente da base,Não,Não,Não convertida
0000295-91.2010.8.26.0291,Furto Simples,Jaboticabal,Vara Criminal,Dr(a). Leandro Galluzzi dos Santos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000329-46.2016.8.26.0456,Furto Simples,Pirapozinho,1ª Vara Judicial,ADRIANO CAMARGO PATUSSI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000391-84.2018.8.26.0628,Furto Simples,Itapecerica da Serra,1ª Vara,TALES NOVAES FRANCIS DICLER,375,375,Não,Primário ou sem antecedentes,Sim,Não,Não,Sim,Igual à base,Não,Não,Convertida
0000468-96.2018.8.26.0530,Furto Simples,Serrana,1ª Vara,Dr(a). Viviane Decnop Freitas Figueira,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000492-73.2022.8.26.0534,Furto Simples,Santa Branca,Vara Única,Adriana Vicentin Pezzatti de Carvalho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000500-86.2018.8.26.0535,Furto Simples,Guarulhos,3ª Vara Criminal,ANDRE LUIZ DA SILVA DA CUNHA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000556-62.2021.8.26.0617,Furto Simples,São José dos Campos,2ª Vara Criminal,DENISE VIEIRA MOREIRA,730,498,Sim,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Sim,N/A,Sim,N/A,N/A
0000581-75.2017.8.26.0630,Furto Simples,Nova Odessa,1ª Vara Judicial,Letícia Lemos Rossi,6,6,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Diferente da base,Sim,Não,Não convertida
0000583-78.2022.8.26.0142,Furto Simples,Colina,Vara Única,FAULER FELIX DE AVILA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000600-83.2013.8.26.0125,Furto Simples,Capivari,2ª Vara,ANDRE LUIZ MARCONDES PONTES,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000601-61.2016.8.26.0352,Furto Simples,Miguelópolis,1ª Vara,ELISA LEONESI MALUF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000614-97.2016.8.26.0275,Furto Simples,Itaporanga,Vara Única,VINICIUS JOSÉ CAETANO MACHADO DE LIMA,740,740,Sim,Primário ou sem antecedentes,Sim no mínimo,Sim,Não,Não,Igual à base,Não,Sim,Convertida
0000617-20.2018.8.26.0069,Furto Simples,Bastos,Vara Única,FABIO ALEXANDRE MARINELLI SOLA,375,375,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Igual à base,Não,Não,Convertida
0000634-65.2017.8.26.0530,Furto Simples,Ribeirão Preto,1ª Vara Criminal,Guaracy Sibille Leite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000662-03.2016.8.26.0616,Furto Simples,Suzano,2Âª Vara Criminal,Dr(a). Milton de Oliveira Sampaio Neto,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000750-53.2015.8.26.0106,Furto Simples,Caieiras,2ª Vara,DANIEL NAKAO MAIBASHI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000759-73.2021.8.26.0536,Furto Simples,Guarujá,3ª Vara Criminal,EDMILSON ROSA DOS SANTOS,365,180,Não,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Sim,Diferente da base,Sim,Não,Não convertida
0000802-08.2018.8.26.0603,Furto Simples,Birigui,2ª Vara Criminal,Dr(a). Leonardo Lopes Sardinha,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A
0000813-15.2017.8.26.0072,Furto Simples,Bebedouro,3ª Vara,JOÃO CARLOS SAUD ABDALA FILHO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000859-39.2018.8.26.0146,Furto Simples,Cordeirópolis,Vara Única,JULIANA SILVA FREITAS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000875-19.2011.8.26.0152,Furto Simples,Cotia,Vara Criminal,Andressa Martins Bejarano,N/A,N/A,Não,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Não,Diferente da base,Não,Não,Não convertida
0000967-64.2015.8.26.0537,Furto Simples,Diadema,1ª Vara Criminal,KLEBER LELES DE SOUZA,N/A,485,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000981-28.2018.8.26.0542,Furto Simples,Osasco,3ª Vara Criminal,Dr(a). MARCIA DE MELLO ALCOFORADO HERRERO,N/A,163,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0000992-17.2012.8.26.0300,Furto Simples,Jardinópolis,1ª Vara,Mariana Tonoli Angeli,730,970,Sim,Maus antecedentes,Sim no mínimo,Sim,Múltiplas condenações,Sim,Diferente da base,Não,Sim,Não convertida
0001125-86.2021.8.26.0383,Furto Simples,Nhandeara,Vara Única,Dr(a). Kerla Karen Ramalho de Castilho Magrini,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001238-74.2016.8.26.0493,Furto Simples,Regente Feijó,Vara Única,MARCEL PANGONI GUERRA,425,565,N/A,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,N/A,Não,N/A,N/A
0001281-04.2018.8.26.0408,Furto Simples,Ourinhos,2ª Vara Criminal,Dr(a). Renata Ferreira dos Santos Carvalho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A
0001287-73.2022.8.26.0536,Furto Simples,São Vicente,1ª Vara Criminal,Alexandre Torres de Aguiar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001342-92.2015.8.26.0625,Furto Simples,Taubaté,2ª Vara Criminal,Fernanda Teixeira Salviano da Rocha,425,365,Não,Maus antecedentes,Não no mínimo,Sim,Uma condenação,Sim,Diferente da base,Não,Não,Não convertida
0001396-11.2018.8.26.0542,Furto Simples,Osasco,4ª Vara Criminal,MARIANA HORTA GREENHALGH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001450-87.2016.8.26.0625,Furto Simples,Taubaté,1ª Vara Criminal,Cláudia Calles Novellino Ballestero,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001461-66.2017.8.26.0210,Furto Simples,Guaíra,1ª Vara,ANDERSON VALENTE,365,485,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Sim,N/A,Sim,Não,Convertida
0001557-61.2017.8.26.0540,Furto Simples,Mauá,2ª Vara Criminal,Paulo Antonio Canali Campanella,375,498,Não,Maus antecedentes,Sim no mínimo,Não,Uma condenação,Não,Igual à base,Não,Não,Não convertida
0001566-97.2017.8.26.0095,Furto Simples,Brotas,1ª Vara,MARCELA MACHADO MARTINIANO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001601-27.2018.8.26.0126,Furto Simples,Caraguatatuba,Vara Criminal,JÚLIO DA SILVA BRANCHINI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001618-20.2007.8.26.0459,Furto Simples,Pitangueiras,1ª Vara,FREDERICO PUPO CARRIJO DE ANDRADE,365,N/A,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,N/A,Não,Não,Não convertida
0001634-44.2014.8.26.0615,Furto Simples,Tanabi,1ª Vara,Dr(a). Renato Soares de Melo Filho,420,120,Não,Maus antecedentes,Sim no mínimo,Sim,Não,Sim,Diferente da base,Não,Não,Convertida
0001779-17.2016.8.26.0038,Furto Simples,Araras,Vara Criminal,Rafael Pavan de Moraes Filgueira,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0001834-96.2016.8.26.0642,Furto Simples,Ubatuba,3ª Vara,Diogo Volpe Gonçalves Soares,N/A,425,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,Igual à base,Não,Sim,Não convertida
0001837-05.2011.8.26.0035,Furto Simples,Águas de Lindóia,Vara Única,Fabiola Brito do Amaral,730,485,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,N/A,Não,Não,Convertida
0001862-87.2020.8.26.0201,Furto Simples,Garça,3ª Vara,TIAGO TADEU SANTOS COELHO,N/A,N/A,N/A,Primário ou sem antecedentes,N/A,N/A,Uma condenação,Sim,N/A,Não,N/A,N/A
0002040-59.2016.8.26.0271,Furto Simples,Itapevi,Vara Criminal,Udo Wolff Dick Appolo Do Amaral,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002062-82.2017.8.26.0530,Furto Simples,Ribeirão Preto,1ª Vara Criminal,Guaracy Sibille Leite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002070-50.2010.8.26.0095,Furto Simples,Brotas,1ª Vara,MARCELA MACHADO MARTINIANO,N/A,N/A,Não,N/A,N/A,N/A,N/A,Não,N/A,N/A,N/A,N/A
0002107-13.2013.8.26.0050,Furto Simples,SÃO PAULO,28ª Vara Criminal,Dr. Augusto Antonini,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002147-21.2018.8.26.0405,Furto Simples,Osasco,4ª Vara Criminal,MARIANA HORTA GREENHALGH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002274-20.2014.8.26.0430,Furto Simples,Paulo de Faria,Vara Única,LUAN CASAGRANDE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002284-62.2016.8.26.0408,Furto Simples,Ourinhos,2ª Vara Criminal,Renata Ferreira dos Santos Carvalho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002387-17.2016.8.26.0587,Furto Simples,São Sebastião,Vara Criminal,GLAUCIA FERNANDES PAIVA,436,579,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,Igual à base,Não,Sim,Não convertida
0002466-34.2016.8.26.0542,Furto Simples,Osasco,4ª Vara Criminal,MARIANA HORTA GREENHALGH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002511-28.2016.8.26.0028,Furto Simples,Aparecida,2ª Vara,ANDERSON DA SILVA ALMEIDA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002523-42.2018.8.26.0361,Furto Simples,Mogi das Cruzes,1ª Vara Criminal,Tatiana Saes Valverde Ormeleze,N/A,437,Sim,Maus antecedentes,Não no mínimo,Não,Uma condenação,Não,N/A,Não,Sim,Não convertida
0002556-44.2014.8.26.0079,Furto Simples,Botucatu,2ª Vara Criminal,CRISTINA ESCHER,365,365,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Igual à base,Não,Sim,Convertida
0002603-79.2017.8.26.0542,Furto Simples,Osasco,4Âª Vara Criminal,MARIANA HORTA GREENHALGH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002644-71.2016.8.26.0642,Furto Simples,Ubatuba,3ª Vara,Diogo Volpe Gonçalves Soares,N/A,120,Não,Maus antecedentes,Sim no mínimo,Sim,Uma condenação,Sim,N/A,Sim,Não,Não convertida
0002685-58.2009.8.26.0068,Furto Simples,Barueri,1ª Vara Criminal,Dr(a). Cyntia Menezes de Paula Straforini,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002748-32.2018.8.26.0565,Furto Simples,São Caetano do Sul,1ª Vara Criminal e da Infância e Juventude,Pedro Corrêa Liao,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0002807-18.2016.8.26.0168,Furto Simples,Dracena,3ª Vara,Aline Sugahara Bertaco,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003009-29.2015.8.26.0362,Furto Simples,Mogi-Guaçu,Vara Criminal,PAULO ROGERIO MALVEZZI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003042-70.2015.8.26.0248,Furto Simples,Indaiatuba,2ª Vara Criminal,Dra. Daniela Faria Romano,375,375,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Igual à base,Não,Não,Convertida
0003472-92.2018.8.26.0126,Furto Simples,Caraguatatuba,Vara Criminal,JULIO DA SILVA BRANCHINI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003578-47.2016.8.26.0248,Furto Simples,Indaiatuba,1ª Vara Criminal,JOSE EDUARDO DA COSTA,365,365,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,N/A,Não,Não,Convertida
0003675-83.2015.8.26.0506,Furto Simples,Ribeirão Preto,3ª Vara Criminal,Dr. Guacy Sibille Leite,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003694-70.2006.8.26.0582,Furto Simples,São Miguel Arcanjo,Vara Única,Matheus Oliveira Nery Borges,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003845-31.2014.8.26.0590,Furto Simples,São Vicente,2ª Vara Criminal,Luís Guilherme Vaz de Lima Cardinale,210,210,N/A,Primário ou sem antecedentes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0003890-90.2014.8.26.0022,Furto Simples,Amparo,2ª Vara,Dr(a). Fabiola Brito do Amaral,365,365,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Diferente da base,Não,Não,Convertida
0004037-37.2012.8.26.0459,Furto Simples,Pitangueiras,1ª Vara,FREDERICO PUPO CARRIJO DE ANDRADE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0004041-49.2017.8.26.0152,Furto Simples,Cotia,Vara Criminal,RAFAEL RAUCH,N/A,N/A,N/A,Primário ou sem antecedentes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0004091-47.2018.8.26.0635,Furto Simples,SÃO PAULO,15ª Vara Criminal,MANOELA ASSEF DA SILVA,425,240,Não,Maus antecedentes,Sim no mínimo,Sim,Não,Sim,Diferente da base,Sim,Não,Convertida
0004190-17.2016.8.26.0108,Furto Simples,Cajamar,1ª Vara Judicial,Dr(a). Renato dos Santos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0004262-86.2014.8.26.0459,Furto Simples,Pitangueiras,1ª Vara,Dr(a). FREDERICO PUPO CARRIJO DE ANDRADE,N/A,N/A,N/A,Primário ou sem antecedentes,Sim no mínimo,N/A,Não,N/A,N/A,N/A,N/A,N/A
0004349-37.2016.8.26.0050,Furto Simples,SÃO PAULO,8ª Vara Criminal,ANA CAROLINA MUNHOZ DE ALMEIDA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0004369-82.2017.8.26.0635,Furto Simples,SÃO PAULO,28ª Vara Criminal,Augusto Antonini,N/A,N/A,N/A,Primário ou sem antecedentes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0004445-81.2018.8.26.0438,Furto Simples,Penápolis,2ª Vara,PEDRO DE CASTRO E SOUSA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0004520-91.2018.8.26.0189,Furto Simples,Fernandópolis,1ª Vara Criminal,JULIANO SANTOS DE LIMA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0004579-60.2008.8.26.0050,Furto Simples,SÃO PAULO,6ª Vara Criminal,Dr(a). Margot Chrysostomo Corrêa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0004682-02.2016.8.26.0272,Furto Simples,Itapira,2ª Vara,Dr(a). VANESSA APARECIDA BUENO,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0004827-58.2016.8.26.0272,Furto Simples,Itapira,2ª Vara,Helia Regina Pichotano,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005063-16.2008.8.26.0587,Furto Simples,São Sebastião,Vara Criminal,GLAUCIA FERNANDES PAIVA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005069-67.2017.8.26.0050,Furto Simples,SÃO PAULO,9ª Vara Criminal,Dr(a). Lilian Lage Humes,730,N/A,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,Diferente da base,Não,Não,Não convertida
0005074-50.2022.8.26.0362,Furto Simples,Mogi-Guaçu,Vara Criminal,PAULO ROGÉRIO MALVEZZI,455,705,Sim,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Sim,N/A,Não,Sim,Não convertida
0005148-03.2018.8.26.0635,Furto Simples,SÃO PAULO,21ª Vara Criminal,Dr(a). Renata William Rached Catelli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005187-09.2022.8.26.0037,Furto Simples,Araraquara,3ª Vara Criminal,Roberto Raineri Simão,1095,2125,Sim,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,N/A,Não,Sim,Não convertida
0005351-24.2016.8.26.0153,Furto Simples,Cravinhos,2ª Vara,Dr(a). GABRIEL ALVES BUENO PEREIRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005385-43.2010.8.26.0271,Furto Simples,Itapevi,Vara Criminal,Udo Wolff Dick Appolo Do Amaral,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Sim,N/A,N/A
0005432-81.2016.8.26.0408,Furto Simples,Ourinhos,2ª Vara Criminal,Dr(a). Renata Ferreira dos Santos Carvalho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005468-62.2007.8.26.0595,Furto Simples,Serra Negra,1ª Vara,JULIANA MARIA FINATI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005522-71.2017.8.26.0047,Furto Simples,Assis,2ª Vara Criminal e da Violência Doméstica e Familiar contra a Mulher,Alexandro Conceição dos Santos,365,365,Sim,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,N/A,Não,Não,Não convertida
0005625-97.2018.8.26.0482,Furto Simples,Presidente Prudente,2ª Vara Criminal,Cibele Carrasco Rainho Novo,436,579,Não,Maus antecedentes,Não no mínimo,Sim,Múltiplas condenações,Não,N/A,Não,Não,Não convertida
0005717-89.2015.8.26.0576,Furto Simples,São José do Rio Preto,1ª Vara Criminal,LUCIANA CASSIANO ZAMPERLINI COCHITO,365,N/A,N/A,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,N/A,Não,Não,Convertida
0005748-40.2015.8.26.0405,Furto Simples,Osasco,4ª Vara Criminal,MARIANA HORTA GREENHALGH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0005875-55.2018.8.26.0604,Furto Simples,HortolÃ¢ndia,1Âª Vara Criminal da Comarca de HortolÃ¢ndia,AndrÃ© Forato AnhÃª,730,730,Sim,Maus antecedentes,Não no mínimo,Não,Múltiplas condenações,Sim,Igual à base,Não,Não,Não convertida
0006079-44.2013.8.26.0291,Furto Simples,Jaboticabal,Vara Criminal,Dr(a). Leandro Galluzzi dos Santos,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0006100-79.2018.8.26.0635,Furto Simples,SÃO PAULO,31ª Vara Criminal,Ana Helena Rodrigues Mellim,N/A,N/A,Não,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Sim,Diferente da base,Sim,Não,Não convertida
0006111-93.2012.8.26.0223,Furto Simples,Guarujá,1ª Vara Criminal,Denise Gomes Bezerra Mota,N/A,425,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0006246-87.2014.8.26.0271,Furto Simples,Itapevi,Vara Criminal,Udo Wolff Dick Appolo Do Amaral,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0006308-68.2015.8.26.0441,Furto Simples,Peruíbe,Juizado Especial Cível e Criminal,ANDERSON JOSÉ BORGES DA MOTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0006395-53.2017.8.26.0635,Furto Simples,SÃO PAULO,16ª Vara Criminal,Fabíola Oliveira Silva,850,850,Não,Primário ou sem antecedentes,Não no mínimo,Não,Não,Sim,Diferente da base,Não,Não,Convertida
0006406-91.2018.8.26.0362,Furto Simples,Mogi-Guaçu,Vara Criminal,PAULO ROGERIO MALVEZZI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0006933-93.2016.8.26.0077,Furto Simples,Birigui,1ª Vara Criminal,ADRIANO PINTO DE OLIVEIRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0007189-53.2018.8.26.0566,Furto Simples,São Carlos,3ª Vara Criminal,Dr. André Luiz de Macedo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0007258-31.2016.8.26.0348,Furto Simples,Mauá,1ª Vara Criminal,SANDRO RAFAEL BARBOSA PACHECO,375,565,Sim,Primário ou sem antecedentes,Sim no mínimo,Não,Não,Não,N/A,Não,Não,Convertida
0007282-94.2006.8.26.0482,Furto Simples,Presidente Prudente,2ª Vara Criminal,Cibele Carrasco Rainho Novo,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0007342-34.2008.8.26.0050,Furto Simples,SÃO PAULO,21ª Vara Criminal,Dr(a). Luciane Jabur Mouchaloite Figueiredo,N/A,N/A,N/A,Primário ou sem antecedentes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0007364-26.2014.8.26.0586,Furto Simples,São Roque,1ª Vara Criminal,Flavio Roberto de Carvalho,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0007524-33.2015.8.26.0322,Furto Simples,Lins,1ª Vara Criminal,Jane Carrasco Alves Floriano,N/A,N/A,N/A,Primário ou sem antecedentes,N/A,N/A,Não,Sim,N/A,Não,N/A,N/A
0007673-03.2017.8.26.0405,Furto Simples,Osasco,4ª Vara Criminal,MARIANA HORTA GREENHALGH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0007765-33.2004.8.26.0050,Furto Simples,SÃO PAULO,23ª Vara Criminal,Dr(a). Cynthia Torres Cristofaro,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0007820-41.2010.8.26.0157,Furto Simples,Cubatão,2ª Vara,Dr(a). Rodrigo Pinati da Silva,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
